B,1, 11195.0,375
B,1, 11392.0,375
B,1, 11215.0,375
B,2, 91310.0,702
B,3, 143932.0,767
B,4, 165293.0,806
B,5, 241859.0,861
B,6, 322078.0,811
B,7, 443511.0,929
B,8, 441703.0,947
B,9, 752123.0,968
B,10, 1.1672e+06,983
B,11, 1.95198e+06,1002
B,12, 2.37656e+06,991
B,13, 2.57927e+06,1010
B,14, 2.99431e+06,1017
B,15, 3.24375e+06,1028
B,16, 4.18931e+06,1033
B,1, 11210.0,375
B,2, 90532.0,702
B,3, 139678.0,770
B,4, 164740.0,841
B,5, 239084.0,760
B,6, 323216.0,849
B,7, 383778.0,929
B,8, 572368.0,950
B,9, 534240.0,975
B,10, 1.40636e+06,983
B,11, 1.9466e+06,980
B,12, 2.31787e+06,1004
B,13, 2.53442e+06,1008
B,14, 2.98658e+06,1008
B,15, 4.17146e+06,1026
B,16, 3.94936e+06,1016
